x,f1,f2,f3,f4,f5,f6,f7,f8
143,0,0,0.444,0.548,0.42,0.548,0.548,0.476660156
144,0,0,0.444,0.544,0.42,0.544,0.544,0.489713542
145,0,0,0.444,0.54,0.416,0.54,0.54,0.505078125
146,0,0,0.444,0.536,0.416,0.536,0.536,0.522623698
147,0,0,0.444,0.532,0.412,0.532,0.532,0.539615885
148,0,0,0.444,0.528,0.416,0.528,0.528,0.556835938
149,0,0,0.444,0.524,0.416,0.524,0.524,0.567285156
150,0,0,0.444,0.52,0.424,0.52,0.52,0.567154948
151,0,0,0.444,0.516,0.416,0.516,0.516,0.584798177
152,0,0,0.444,0.512,0.416,0.512,0.512,0.601464844
153,0,0,0.444,0.508,0.416,0.508,0.508,0.619433594
154,0,0,0.444,0.504,0.412,0.504,0.504,0.638216146
155,0,0,0.444,0.5,0.412,0.5,0.5,0.656510417
156,1,0,0.444,0.496,0.412,0.496,0.496,0.67421875
157,1,0,0.444,0.496,0.408,0.496,0.496,0.681380208
158,1,0,0.444,0.496,0.412,0.496,0.496,0.691178385
159,1,0,0.444,0.496,0.412,0.496,0.496,0.707454427
160,1,0,0.444,0.504,0.416,0.504,0.504,0.722298177
161,1,0,0.444,0.508,0.416,0.508,0.508,0.73766276
162,1,0,0.444,0.512,0.408,0.512,0.512,0.744335938
163,1,0,0.444,0.52,0.412,0.52,0.52,0.744270833
164,1,0,0.444,0.524,0.412,0.524,0.524,0.744759115
165,1,0,0.444,0.528,0.416,0.528,0.528,0.74453125
166,1,0,0.444,0.536,0.412,0.536,0.536,0.742675781
167,1,0,0.444,0.54,0.42,0.54,0.54,0.740950521
168,1,0,0.44,0.544,0.424,0.544,0.544,0.737825521
169,1,0,0.436,0.548,0.424,0.548,0.548,0.736067708
170,1,0,0.44,0.556,0.424,0.556,0.556,0.734505208
171,1,0,0.44,0.56,0.424,0.56,0.56,0.731673177
172,1,0,0.44,0.564,0.424,0.564,0.564,0.728352865
173,1,0,0.444,0.568,0.424,0.568,0.568,0.722851563
174,0,0,0.444,0.568,0.42,0.568,0.568,0.723470052
175,0,0,0.444,0.564,0.412,0.564,0.564,0.720996094
176,0,0,0.444,0.556,0.408,0.556,0.556,0.721744792
177,0,0,0.444,0.552,0.404,0.552,0.552,0.72203776
178,0,0,0.444,0.548,0.404,0.548,0.548,0.722330729
179,0,0,0.44,0.544,0.408,0.544,0.544,0.72203776
180,0,0,0.44,0.54,0.404,0.54,0.54,0.723242188
181,0,0,0.44,0.536,0.404,0.536,0.536,0.724316406
182,0,0,0.436,0.532,0.404,0.532,0.532,0.723404948
183,0,0,0.436,0.528,0.404,0.528,0.528,0.72421875
184,0,0,0.432,0.524,0.412,0.524,0.524,0.729557292
185,0,0,0.432,0.52,0.416,0.52,0.52,0.738020833
186,0,0,0.428,0.516,0.396,0.516,0.516,0.746158854
187,0,0,0.428,0.512,0.396,0.512,0.512,0.748372396
188,0,0,0.428,0.508,0.404,0.508,0.508,0.74469401
189,0,0,0.428,0.504,0.412,0.504,0.504,0.742317708
